0,1,2,3,4,5
"Apple MacBook Pro MWP52HNA Quad Core-10th Gen i5-2.0GHz, 16GB,1TB SSD, 33.78 cm (13.3 inch) Retina Display, Space Grey",10th Gen 2.0 GHz Quad-core Intel Core i5 Processor, 16 GB,,1 tb ssd,194900
"Asus ExpertBook P1 (P1440FA) Laptop (10th Gen Intel Core i5-10210U/8GB/1TB/Intel UHD Graphics 620/Windows 10 Pro/MSO/LCD), 35.56 cm (14 inch)",Free upgrade to Windows 11* when available, 8 GB, Windows 10,1 tb hard drive,62999
"Acer SF314-57G Swift 3 Laptop (10th Gen Intel Core i5-1035G1/8 GB/512 GB SSD/2 GB MX250 Graphics/Windows 10/MSO/FHD), 35.56 cm (14 inch)",10th Gen 1035G1 Intel Core i5 Processor, 8 GB, Windows 10,512 gb ssd,59399
"HP 15-ek0025TX Omen Gaming Laptop (10th Gen Intel Core i5-10300H/8 GB/512 GB SSD/Nvidia GeForce Graphics/Windows 10 Home/Full HD), 39.6 cm (15.6 inch)",10th Gen Quad-core Intel Core i5-10300H Processor, 8GB, Windows 10,512gb ssd,73999
"Dell 3501 Inspiron 3000 Laptop (11th Gen Intel Core i3-1115G4/8GB/1TB HDD/Intel UHD Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 Processor, 8GB, Windows 10,1tb hard drive,37749
"Dell 3501 Inspiron 3000 Laptop (10th Gen Intel Core i3-1005G1/8GB/256GB PCIe-SSD/Intel UHD Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",10th Gen Intel Core i3-1005G1 Processor, 8GB, Windows 10,256 gb ssd,44499
"Lenovo K0IN IdeaPad Slim 5i Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 35.56 cm (14 inch)",Free upgrade to Windows 11* when available, 8GB, Windows 10,512 gb ssd,66990
"HP 13-bb0075TU Pavilion Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 33.8 cm (13.3 inch)",Free upgrade to Windows 11* when available, 16GB, Windows 10,512 gb ssd,72999
"AVITA Liber V14 A8INR672-MB Laptop (10th Gen Intel Core i7-10510U/16GB/1TB SSD/Intel Graphics/Windows 10/MSO/FHD), 35.56 cm (14 inch)",10th Gen Intel Core i7-10510U  Processor, 16GB, Windows 10,1 tb ssd,60999
"Acer A515-56 Aspire 5 Laptop (11th Gen Intel Core i3-1115G4/4GB/1TB HDD/Intel UHD Graphics/Windows 10/MSO/FHD), 39.6 cm (15.6 inch)",Dual Core Intel Core i3-1115G4 11th Gen Processor, 4 GB, Windows 10,1 tb hdd,24999
"HP 15-ec1051AX Pavilion Gaming Laptop (AMD Ryzen 5 4600H/8GB/512GB PCIe-SSD/4GB Nvidia GeForce GTX 1650Ti Graphics/Windows 10/FHD), 39.6 cm (15.6 inch)",Hexa Core AMD Ryzen 5 4600H Processor, 8 GB, Windows 10,512 gb ssd,72999
"Dell 3501 Inspiron 15 Laptop (11th Gen Intel Core i3/8GB/256GB SSD/Windows 10/MSO/Full HD), 39.62 cm (15.6 inch)",Intel Core i3 11th Gen 1115G4 Processor, 8 GB, Windows 10,256 gb ssd,37749
"HP 16d0351TX Victus Gaming Laptop (11th Gen Intel Core i5-11400H/16GB/512GB SSD/4GB Nvidia GeForce RTX 3050 Graphics/Windows 10/MSO/FHD), 40.9 cm (16.1 inch)",11th Gen Intel Core i5-11400H Processor, 16 GB, Windows 10 Operating System,512 gb ssd,79997
