0,1,2,3,4,5,brand_name,processor_brand
"Asus HX019T ROG Strix G17 Gaming Laptop (AMD Ryzen 7-4800H/8GB/512GB SSD/4 GB Nvidia GeForce GTX 1650/Windows 10/FHD), 43.94 cm (17.3 inch)",Free upgrade to Windows 11 when available,8 ,Windows 10,512 gb ssd,80799.0,asus,free upgrade to windows 11 when available
"Microsoft 5UI-00023 Surface 4 Laptop (AMD Ryzen 7 4980U/8GB/256GB SSD/AMD Radeon Graphics/Windows 10/MSO/), 38.1 cm (15 inch)",Octa Core AMD Ryzen 7 4980U Processor,8 ,Windows 10,256 gb ssd,124999.0,microsoft,amd ryzen  7  octa
"Microsoft 5PB-00023 Surface 4 Laptop (AMD Ryzen 5 4680U/8GB/256GB SSD/AMD Radeon Graphics/Windows 10/MSO/), 34.29 cm (13.5 inch)",,8 ,nan,256 gb ssd,93990.0,microsoft,nan
"Dell 3515 Inspiron 15 Standard Laptop (AMD Ryzen 3 3250U Processor/8GB/256GB SSD/AMD Radeon Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",39.62 cm (15.6 inch) Full HD Display,na,nan,nan,40999.0,dell,39.62 cm (15.6 inch) full hd display
"Dell 3511 Inspiron 15 Standard Laptop (11th Gen Intel Core i3-1115G4 Processor/8GB/1TB Hard Drive/Intel UHD Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",39.62 cm (15.6 inch) Full HD Display,na,nan,nan,36749.0,dell,39.62 cm (15.6 inch) full hd display
"Dell 9305 XPS 13 Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/Intel Iris Xe Graphics/Windows 11/Full HD), 34.29 cm (13.3 inch)",11th Gen Intel Core i5-1135G7 Processor,16,Windows 11,512 gb ssd,79999.0,dell,intel i5 11th
"HP 14-dy0053TU Pavilion x360 Convertible Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/Full HD), 35.56 cm (14 inch)",11th Gen Intel Core i5-1135G7 Processor,16,Windows 10,512 gb ssd,73999.0,hp,intel i5 11th
"Lenovo 13IN IdeaPad 3i Laptop (10th Gen Intel Core i3-10110U/4GB/256GB SSD/Intel UHD Graphics/Windows 10/MSO/Full HD), 39.62 cm (15.6 inch)",,4 ,Windows 10,256 gb ssd,33990.0,lenovo,nan
"HP Envy x360 E13-AY0508AU Convertible Laptop (AMD Ryzen 7 4700U/16GB/1 TB SSD/AMD Radeon Graphics/Windows 10/FHD/MSO), 33.8 cm (13.3 inch)",AMD Ryzen 7 4700U Processor Processor,16,Windows 10,1 tb ssd,92999.0,hp,amd ryzen  7 
"Lenovo 2EHA IdeaPad Slim 3i Laptop (Intel Celeron N4020/4GB/64GB eMMC 5.1/Intel UHD 600 Graphics/Chrome OS/FHD), 35.56 cm (14 inch)",Intel Celeron N4020 Processor,4 ,chrome,64 gb emmc,23990.0,lenovo,intel celeron
"Lenovo 12HA IdeaPad Flex 3i Laptop (Intel Celeron N4500/4GB/128GB eMMC 5.1/Intel UHD Graphics/Chrome OS/HD), 29.46 cm (11.6 inch)",Intel Celeron N4500 Processor,4 ,chrome,128 gb ssd emmc,28490.0,lenovo,intel celeron
"Lenovo DGIN IdeaPad Slim 3i Laptop (Intel Core i5-1135G7/8GB/256 GB SSD/Intel Iris Xe Graphics/Windows 10/FHD/MSO), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 Processor,8 ,Windows 10,256 gb ssd,54999.0,lenovo,intel i5 11th
"Acer NX.A1GSI.00D Aspire 5 Laptop (Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 11/MSO/Full HD), 39.6 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 processor,8 ,Windows 11,512 gb ssd,54499.0,acer,intel i5 11th
"Dell 3511 Inspiron 15 Laptop (11th Gen Intel Core i5-1135G7/8GB/1TB HDD+256 GB SSD/2GB/Nvidia GeForce MX350/Windows 11/MSO/FHD), 39.62 cm (15.6 inch)",11th Gen Intel Core i5-1135G7 Processor,8 ,Windows 11,1 tb ,63999.0,dell,intel i5 11th
"Microsoft 34.29 cm (13.5 inch) Surface Laptop 3 (10th Gen Core i5/8 GB/128 GB), VGY-00021",,8 ,Windows 10,128 gb ssd ssd,101999.0,microsoft,nan
"Apple MacBook Pro MWP52HNA Quad Core-10th Gen i5-2.0GHz, 16GB,1TB SSD, 33.78 cm (13.3 inch) Retina Display, Space Grey",10th Gen 2.0 GHz Quad-core Intel Core i5 Processor,16,nan,1 tb ssd,194900.0,apple,intel i5 10th
"Asus ExpertBook P1 (P1440FA) Laptop (10th Gen Intel Core i5-10210U/8GB/1TB/Intel UHD Graphics 620/Windows 10 Pro/MSO/LCD), 35.56 cm (14 inch)",,8 ,Windows 10,1 tb hard drive,62999.0,asus,nan
"Acer SF314-57G Swift 3 Laptop (10th Gen Intel Core i5-1035G1/8 GB/512 GB SSD/2 GB MX250 Graphics/Windows 10/MSO/FHD), 35.56 cm (14 inch)",10th Gen 1035G1 Intel Core i5 Processor,8 ,Windows 10,512 gb ssd,59399.0,acer,intel i5 10th
"HP 15-ek0025TX Omen Gaming Laptop (10th Gen Intel Core i5-10300H/8 GB/512 GB SSD/Nvidia GeForce Graphics/Windows 10 Home/Full HD), 39.6 cm (15.6 inch)",10th Gen Quad-core Intel Core i5-10300H Processor,8 ,Windows 10,512 gb ssd,73999.0,hp,intel i5 10th
"Dell 3501 Inspiron 3000 Laptop (11th Gen Intel Core i3-1115G4/8GB/1TB HDD/Intel UHD Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",11th Gen Intel Core i3-1115G4 Processor,8 ,Windows 10,1 tb hard drive,37749.0,dell,intel i3 11th
"Dell 3501 Inspiron 3000 Laptop (10th Gen Intel Core i3-1005G1/8GB/256GB PCIe-SSD/Intel UHD Graphics/Windows 10/MSO/FHD), 39.62 cm (15.6 inch)",10th Gen Intel Core i3-1005G1 Processor,8 ,Windows 10,256 gb ssd,44499.0,dell,intel i3 10th
"Lenovo K0IN IdeaPad Slim 5i Laptop (11th Gen Intel Core i5-1135G7/8GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 35.56 cm (14 inch)",,8 ,Windows 10,512 gb ssd,66990.0,lenovo,nan
"HP 13-bb0075TU Pavilion Laptop (11th Gen Intel Core i5-1135G7/16GB/512GB SSD/Intel Iris Xe Graphics/Windows 10/MSO/FHD), 33.8 cm (13.3 inch)",,16,Windows 10,512 gb ssd,72999.0,hp,nan
"AVITA Liber V14 A8INR672-MB Laptop (10th Gen Intel Core i7-10510U/16GB/1TB SSD/Intel Graphics/Windows 10/MSO/FHD), 35.56 cm (14 inch)",10th Gen Intel Core i7-10510U  Processor,16,Windows 10,1 tb ssd,60999.0,avita,intel i7 10th
"Acer A515-56 Aspire 5 Laptop (11th Gen Intel Core i3-1115G4/4GB/1TB HDD/Intel UHD Graphics/Windows 10/MSO/FHD), 39.6 cm (15.6 inch)",Dual Core Intel Core i3-1115G4 11th Gen Processor,4 ,Windows 10,1 tb hdd,24999.0,acer,intel i3 11th
"HP 15-ec1051AX Pavilion Gaming Laptop (AMD Ryzen 5 4600H/8GB/512GB PCIe-SSD/4GB Nvidia GeForce GTX 1650Ti Graphics/Windows 10/FHD), 39.6 cm (15.6 inch)",Hexa Core AMD Ryzen 5 4600H Processor,8 ,Windows 10,512 gb ssd,72999.0,hp,amd ryzen  5  hexa
"Dell 3501 Inspiron 15 Laptop (11th Gen Intel Core i3/8GB/256GB SSD/Windows 10/MSO/Full HD), 39.62 cm (15.6 inch)",Intel Core i3 11th Gen 1115G4 Processor,8 ,Windows 10,256 gb ssd,37749.0,dell,intel i3 11th
